State,District,District Code,Mandal,Mandal Code,Village,Village (Native),Village Code,Pincode,Category,Status
Andhra Pradesh,Sri Sathya Sai,754,Tadimarri,5338,(Shro) Thirumalapuram,,595183,515631,Rural,Inhabitant
Andhra Pradesh,Guntur,506,Phirangipuram,5072,113 Thalluru,,590214,522529,Rural,Inhabitant
Andhra Pradesh,Alluri Sitharama Raju,745,Paderu,4847,14 Mile Stone,,584792,531024,Rural,Inhabitant
Andhra Pradesh,Annamayya,753,Chowdepalle,5413,29 -A. Chinta -Makulapalle,,596519,517257,Rural,Inhabitant
Andhra Pradesh,Palnadu,751,Pedakurapadu,5057,75-Tyallur,,590010,522436,Rural,Inhabitant
Andhra Pradesh,Kakinada,746,Thondangi,4901,A. Kothapalle,,587324,533408,Rural,Inhabitant
Andhra Pradesh,Kakinada,746,Rowthulapudi,4891,A. Mallavaram,,587007,533406,Rural,Inhabitant
Andhra Pradesh,Polavaram,791,Devipatnam,4885,A. Veeravaram,,586631,533354,Rural,Inhabitant
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,747,Amalapuram,4941,A. Vemavaram,,587877,533577,Rural,Inhabitant
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,747,Amalapuram,4941,A. Vemavarappadu,,912647,533201,Rural,Inhabitant
Andhra Pradesh,Alluri Sitharama Raju,745,G.Madugula,4848,A.Bandaveedhi,,584868,531029,Rural,Inhabitant
Andhra Pradesh,Tirupati,752,Pullampeta,5247,A.Channamambapuram,,593687,516107,Rural,Inhabitant
Andhra Pradesh,Eluru,748,Unguturu,4962,A.Gokavaram,,588338,534416,Rural,Inhabitant
Andhra Pradesh,Kurnool,511,Kallur,5258,A.Gokulapadu,,593886,518467,Rural,Inhabitant
Andhra Pradesh,Kurnool,511,Alur,5274,A.Gonehal,,594152,518395,Rural,Inhabitant
Andhra Pradesh,West Godavari,523,Akividu,4975,A.I.Bheemavaram,,588600,534235,Rural,Inhabitant
Andhra Pradesh,Ntr,749,Atlapragada Konduru,4998,A.Konduru,,588988,521226,Rural,Inhabitant
Andhra Pradesh,Annamayya,753,Chowdepalle,5413,A.Kothakota,,596522,517257,Rural,Inhabitant
Andhra Pradesh,Y.S.R. Kadapa,504,B.Kodur,5209,A.Kothapalle,,593041,516228,Rural,Inhabitant
Andhra Pradesh,Alluri Sitharama Raju,745,Munchingi Puttu,4841,A.Kotturu,,583553,531040,Rural,Inhabitant
Andhra Pradesh,Alluri Sitharama Raju,745,Peda Bayalu,4842,A.Kummariputtu,,583632,531040,Rural,Inhabitant
Andhra Pradesh,Y.S.R. Kadapa,504,Pendlimarry,5232,A.Ramachandrapuram,,593444,516217,Rural,Inhabitant
Andhra Pradesh,Kakinada,746,Thondangi,4901,A.V.Nagaram,,587328,533449,Rural,Inhabitant
Andhra Pradesh,Prakasam,517,Kotha Patnam,5140,Aaluru,,912408,523182,Rural,Inhabitant
Andhra Pradesh,Tirupati,752,Sullurpeta,5197,Abaka,,592749,524121,Rural,Inhabitant
Andhra Pradesh,Bapatla,750,Vemuru,5087,Abbanagudavalli,,590410,522324,Rural,Inhabitant
Andhra Pradesh,Guntur,506,Thulluru,5053,Abbarajupalem,,589963,522237,Rural,Inhabitant
Andhra Pradesh,Annamayya,753,Rayachoti,5239,Abbavaram,,593537,516269,Rural,Inhabitant
Andhra Pradesh,Prakasam,517,Darsi,5114,Abbaya Palem,,590808,523304,Rural,Inhabitant
Andhra Pradesh,Ananthapuramu,502,Gooty,5310,Abbedoddi,,594753,515401,Rural,Inhabitant
Andhra Pradesh,Palnadu,751,Sattenapalli,5058,Abburu,,590029,522402,Rural,Inhabitant
Andhra Pradesh,Y.S.R. Kadapa,504,Badvel,5210,Abbusahebpeta,,593058,516227,Rural,Inhabitant
Andhra Pradesh,Nandyal,755,Kolimigundla,5301,Abdullapuram,,594590,518123,Rural,Inhabitant
