State,District,District Code,Mandal,Mandal Code,Village,Village (Native),Native Source,Village Code,Pincode,Category,Status
Kerala,Malappuram,562,Tirurangadi,5645,Abdu Rahiman Nagar (Ct),അബ്ദു റഹിമാൻ നാഗർ (സിടി),transliterated,627552,676305,,
Kerala,Wayanad,567,Vythiri,5637,Achooranam,അച്ചൂരണം,transliterated,627333,673575,,
Kerala,Thrissur,566,Thrissur,5654,Adat (Ct),അദത് (സിടി),transliterated,627842,680555,,
Kerala,Kasaragod,558,Kasaragod,5630,Adhur,ആദൂർ,authoritative,627110,671543,,
Kerala,Kasaragod,558,Kasaragod,5630,Adoor,അടൂര്‍,authoritative,627119,671543,,
Kerala,Palakkad,563,Tribal Taluk Office Attappadi,7176,Agali,അഗളി,authoritative,627611,678581,,
Kerala,Ernakulam,555,Kunnathunad,5657,Aikaranad North,ഐകരനാട് നോർത്ത്,transliterated,627953,683565,,
Kerala,Ernakulam,555,Kunnathunad,5657,Aikaranad South,ഐകരനാട് സൌത്ത്,transliterated,627954,682308,,
Kerala,Kottayam,560,Kottayam,5670,Aimanam (Ct),ഐമനം (സിടി),transliterated,628173,686015,,
Kerala,Kasaragod,558,Hosdurg,5631,Ajanur (Ct),അജനൂർ (സിടി),transliterated,627169,671531,,
Kerala,Kottayam,560,Kottayam,5670,Akalakunnam,അകലാകുന്നം,transliterated,628160,686564,,
Kerala,Malappuram,562,Nilambur,5642,Akampadam,അകമ്പടം,transliterated,627471,679329,,
Kerala,Palakkad,563,Palakkad,5649,Akathethara,അകത്തേതര,transliterated,627649,678008,,
Kerala,Thrissur,566,Kunnamkulam,6598,Akathiyoor (Ct),അകത്തിയൂർ (സിടി),transliterated,627774,680519,,
Kerala,Thrissur,566,Kodungallur,5655,Ala (Ct),അല (സിടി),transliterated,627880,680668,,
Kerala,Alappuzha,554,Chengannur,5677,Ala (Part),അല (പാർട്ട്),transliterated,628272,689508,,
Kerala,Idukki,556,Thodupuzha,5666,Alacode,അലക്കോഡ്,transliterated,628097,685585,,
Kerala,Kannur,557,Taliparamba,5632,Alakode,ആലക്കോട്,authoritative,627190,670571,,
Kerala,Malappuram,562,Ponnani,5646,Alamcode (Ct),അലാംകോഡ് (സിടി),transliterated,627564,679585,,
Kerala,Palakkad,563,Mannarkad,5648,Alanallur-I,അലനല്ലൂർ-ഇ,transliterated,627603,678601,,
Kerala,Palakkad,563,Mannarkad,5648,Alanallur-Ii,അലനല്ലൂർ-ഐ,transliterated,627604,678601,,
Kerala,Palakkad,563,Mannarkad,5648,Alanallur-Iii,അലനല്ലൂർ-ഐ,transliterated,627605,678601,,
Kerala,Ernakulam,555,Paravur,5659,Alangad (Ct),അലങ്കാട് (സിടി),transliterated,627989,683511,,
Kerala,Kannur,557,Payyannur,6599,Alapadamba,അലപടമ്പ,transliterated,627180,670307,,
Kerala,Thrissur,566,Thrissur,5654,Alappad,ആലപ്പാട്,authoritative,627821,680641,,
Kerala,Alappuzha,554,Ambalappuzha,5674,Alappuzha West,ആലപ്പുഴ വെസ്റ്റ്,transliterated,913812,688001,,
Kerala,Thrissur,566,Chalakkudy,5939,Alathur,ആലത്തൂർ,authoritative,627915,680741,,
Kerala,Kollam,559,Punalur,5947,Alayamon,അലയമൺ,authoritative,628402,691311,,
Kerala,Thrissur,566,Kunnamkulam,6598,Aloor (Ct),അലൂർ (സിടി),transliterated,627783,680602,,
Kerala,Thrissur,566,Chalakkudy,5939,Alur,ആലൂർ,transliterated,627905,680697,,
Kerala,Ernakulam,555,Aluva,5658,Aluva East,അലുവ ഈസ്റ്റ്,transliterated,913804,683101,,
Kerala,Ernakulam,555,Aluva,5658,Aluva West,അലുവ വെസ്റ്റ്,transliterated,913803,683101,,
Kerala,Palakkad,563,Ottappalam,5647,Ambalapara - I,അമ്പലപാറ - ഇ,transliterated,627593,679512,,
Kerala,Palakkad,563,Ottappalam,5647,Ambalapara - II,അമ്പലപാറ - ഐ,transliterated,627592,679512,,
Kerala,Alappuzha,554,Ambalappuzha,5674,Ambalappuzha,അമ്പലപ്പുഴ,authoritative,628229,688561,,
Kerala,Alappuzha,554,Ambalappuzha,5674,Ambalappuzha North,അമ്പലപ്പുഴ നോർത്ത്,transliterated,916074,688005,,
Kerala,Wayanad,567,Sulthanbathery,5636,Ambalavayal,അമ്പലവയൽ,authoritative,627322,673593,,
Kerala,Thrissur,566,Mukundapuram,5656,Amballur (Ct),അമ്പല്ലൂർ (സിടി),transliterated,627921,680302,,
Kerala,Ernakulam,555,Kanayannur,5661,Amballur (Ct),അമ്പല്ലൂർ (സിടി),transliterated,628019,682317,,
Kerala,Thiruvananthapuram,565,Nedumangad,5690,Anad,ആനാട്,authoritative,628492,695541,,
Kerala,Palakkad,563,Pattambi,5940,Anakkara,അണക്കര,authoritative,627566,679551,,
Kerala,Idukki,556,Udumbanchola,5665,Anakkara,അണക്കര,authoritative,628083,685512,,
Kerala,Malappuram,562,Ernad,5641,Anakkayam (Og),അനക്കയം (ഓഗ്),transliterated,627469,676509,,
Kerala,Malappuram,562,Perinthalmanna,5643,Anamangad,ആനമങ്ങാട്,authoritative,627504,679357,,
Kerala,Thrissur,566,Mukundapuram,5656,Anandapuram,ആനന്ദപുരം,authoritative,627894,680305,,
Kerala,Palakkad,563,Ottappalam,5647,Ananganadi,അനങ്ങനടി,transliterated,627582,679501,,
Kerala,Malappuram,562,Tirur,5644,Ananthavoor,അനന്താവൂർ,transliterated,627523,676301,,
Kerala,Idukki,556,Udumbanchola,5665,Anavilasam,അനവിലാസം,transliterated,628081,685535,,
Kerala,Thiruvananthapuram,565,Neyyattinkara,5692,Anavoor,അണവൂർ,transliterated,628529,695124,,
Kerala,Kollam,559,Punalur,5947,Anchal,അഞ്ചൽ,authoritative,628400,691306,,
Kerala,Kannur,557,Kannur,5633,Ancharakandy (Ct),അഞ്ചരകണ്ടി (സിടി),transliterated,627242,670611,,
Kerala,Wayanad,567,Mananthavady,5635,Anchukunnu,അഞ്ചുകുന്ന്,transliterated,627305,670645,,
Kerala,Kannur,557,Taliparamba,5632,Andoor,ആണ്ടൂർ,authoritative,913290,670563,,
Kerala,Thiruvananthapuram,565,Thiruvananthapuram,5691,Andoorkonam,അണ്ടൂർകോണം,transliterated,628508,695301,,
Kerala,Pathanamthitta,564,Ranni,5681,Angadi,അങ്ങാടി,transliterated,628316,689674,,
Kerala,Pathanamthitta,564,Adoor,5683,Angadickal,അങ്ങാടിക്കൽ,authoritative,628347,689648,,
Kerala,Kasaragod,558,Manjeswaram,5932,Angadimogaru,അങ്ങാടിമൊഗര്,transliterated,627082,671321,,
Kerala,Pathanamthitta,564,Mallappally,5680,Anicad,അനിക്കാഡ്,transliterated,628305,689584,,
Kerala,Kottayam,560,Kottayam,5670,Anikkad,അനിക്കാട്,transliterated,628162,686503,,
Kerala,Thrissur,566,Kunnamkulam,6598,Anjur,അഞ്ജുർ,transliterated,913641,680523,,
