State,District,District Code,Mandal,Mandal Code,Village,Village (Native),Village Code,Pincode,Category,Status
Tamil Nadu,Namakkal,580,Rasipuram,5746,3 Komarapalayam,,634549,637209,Rural,Inhabitant
Tamil Nadu,Namakkal,580,Tiruchengode,5745,48 Kailasampalayam,,932619,637209,Urban,Inhabitant
Tamil Nadu,Namakkal,580,Tiruchengode,5745,58 Kailasampalayam,,634397,637209,Rural,Inhabitant
Tamil Nadu,Namakkal,580,Rasipuram,5746,85 Komarapalayam,,634479,637403,Rural,Inhabitant
Tamil Nadu,Namakkal,580,Mohanur,6635,A Metupatty,அ மேட்டுப்பட்டி,932531,637015,Rural,Inhabitant
Tamil Nadu,Namakkal,580,Sendamangalam,6632,A Palapatty,அ. பாலப்பட்டி,932308,637013,Rural,Inhabitant
Tamil Nadu,Namakkal,580,Sendamangalam,6632,A Palayapalayam,அக்ரஹார பழையபாளையம்,932264,637405,Rural,Inhabitant
Tamil Nadu,Dindigul,572,Palani,5760,A-Kalayamputhur,,635158,624615,Rural,Inhabitant
Tamil Nadu,Cuddalore,570,Tittakudi,5794,A. Agaram,,637259,606304,Rural,Inhabitant
Tamil Nadu,Viluppuram,596,Kandachipuram,6651,A. Gudalur,,633127,605755,Rural,Inhabitant
Tamil Nadu,Sivaganga,585,Singampunari,5995,A. Kalappur,,639999,630501,Rural,Inhabitant
Tamil Nadu,Kallakurichi,729,Ulundurpettai,5735,A. Kulathur,,633622,606205,Rural,Inhabitant
Tamil Nadu,Cuddalore,570,Veppur,5953,A. Marur,,637065,606203,Rural,Inhabitant
Tamil Nadu,Coimbatore,569,Pollachi,5899,A. Nagoor,,644537,642202,Rural,Inhabitant
Tamil Nadu,Dharmapuri,571,Pappireddipatti,5887,A. Pallipatti,,643538,636905,Rural,Inhabitant
Tamil Nadu,Ramanathapuram,583,Paramakudi,5856,A. Panaiyur,,641914,623537,Rural,Inhabitant
Tamil Nadu,Salem,584,Salem West,5971,A.Ayyamperumalpatti,,633960,636302,Rural,Inhabitant
Tamil Nadu,Dharmapuri,571,Nallampalli,6623,A.Jettihalli,,643594,636807,Rural,Inhabitant
Tamil Nadu,Tirupathur,732,Tirupathur,5720,A.K.Mottur,,631119,635652,Rural,Inhabitant
Tamil Nadu,Tenkasi,733,Tiruvengadam,6642,A.Karisalkulam,,642651,627719,Rural,Inhabitant
Tamil Nadu,Dindigul,572,Vedasandur,5762,A.Kombai,,932515,624619,Urban,Inhabitant
Tamil Nadu,Kallakurichi,729,Ulundurpettai,5735,A.Kumaramangalam,,633704,606107,Rural,Inhabitant
Tamil Nadu,Kallakurichi,729,Ulundurpettai,5735,A.Kurumbur,,633732,606104,Rural,Inhabitant
Tamil Nadu,Tenkasi,733,Tiruvengadam,6642,A.Madhurapuri,,642668,627754,Rural,Inhabitant
Tamil Nadu,Ramanathapuram,583,Tiruvadanai,5855,A.Manakudi,,641846,623403,Rural,Inhabitant
Tamil Nadu,Kallakurichi,729,Ulundurpettai,5735,A.Mazhavarayanur,,633725,606305,Rural,Inhabitant
Tamil Nadu,Virudhunagar,597,Sivakasi,5849,A.Meenachipuram,,641332,626130,Rural,Inhabitant
Tamil Nadu,Sivaganga,585,Singampunari,5995,A.Melaiyur,,640020,630211,Rural,Inhabitant
Tamil Nadu,Ramanathapuram,583,Kadaladi,5859,A.Punavasal,,642053,623703,Rural,Inhabitant
Tamil Nadu,Kallakurichi,729,Ulundurpettai,5735,A.Puthur,,633712,607202,Rural,Inhabitant
Tamil Nadu,Dharmapuri,571,Dharmapuri,5888,A.Reddihalli,,643576,636704,Rural,Inhabitant
Tamil Nadu,Kallakurichi,729,Ulundurpettai,5735,A.Sathanur,,633727,606104,Rural,Inhabitant
Tamil Nadu,Krishnagiri,577,Hosur,5890,A.Settipalli,,643783,635105,Rural,Inhabitant
Tamil Nadu,Krishnagiri,577,Shoolagiri,6641,A.Settipalli,எ.செட்டிப்பள்ளி,932140,635105,Rural,Inhabitant
Tamil Nadu,Ramanathapuram,583,Kamuthi,5858,A.Tharaikkudi,,642006,623601,Rural,Inhabitant
Tamil Nadu,Tirunelveli,592,Radhapuram,5880,A.Tirumalapuram,,643068,627113,Rural,Inhabitant
Tamil Nadu,Madurai,578,Melur,5835,A.Valayapatti,,640519,625301,Rural,Inhabitant
Tamil Nadu,Madurai,578,Melur,5835,A.Vallalapatti,,933718,625301,Urban,Inhabitant
Tamil Nadu,Dindigul,572,Dindiguleast,5980,A.Vellodu,,635380,624307,Rural,Inhabitant
Tamil Nadu,Dindigul,572,Dindiguleast,5980,A.Vellodu R.F.,,635403,624307,Rural,Inhabitant
Tamil Nadu,Thiruvallur,589,Ponneri,5694,Aaladu 2,ஆலாடு 2,933216,601204,Rural,Inhabitant
Tamil Nadu,Chennai,568,Tiruvottiyur,5982,Aamullaivayal,ஆமுல்லைவாயல்,952429,600103,Urban,Inhabitant
Tamil Nadu,Thiruvarur,590,Mannargudi,5808,Aandikkulam,ஆண்டிக்குளம்,932320,614014,Urban,Inhabitant
Tamil Nadu,Ranipet,731,Arakonam,5715,Aarikilapadi,,933932,631001,Unmapped,Inhabitant
Tamil Nadu,Viluppuram,596,Vikravandi,5978,Aasur North,ஆசூர் வடக்கு,933037,605652,Unmapped,Inhabitant
Tamil Nadu,Thanjavur,586,Peravurani,5817,Aathalur,ஆத்தாளூர்,932725,614804,Urban,Inhabitant
Tamil Nadu,Kancheepuram,574,Kundrathur,7057,Aathanancheri,ஆதனஞ்சேரி,932789,601301,Rural,Inhabitant
Tamil Nadu,Thanjavur,586,Peravurani,5817,Aathanur,ஆதனூர்,932729,614804,Urban,Inhabitant
Tamil Nadu,Viluppuram,596,Melmalaiyanur,6652,Aathipattu,ஆத்திப்பட்டு,932944,604152,Rural,Inhabitant
Tamil Nadu,Thiruvallur,589,R K Pet,6674,Aathivarakapuram,ஆதிவராகபுரம்,932151,631303,Rural,Inhabitant
Tamil Nadu,Kanniyakumari,575,Kalkulam,5882,Aathivilai,ஆத்திவிளை,932211,629802,Rural,Inhabitant
Tamil Nadu,Salem,584,Edappadi,5738,Aavaniperur(West),ஆவணிபேரூர் மேற்கு,931797,637101,Urban,Inhabitant
Tamil Nadu,Nagapattinam,579,Nagapattinam,5799,Abaranadari,,637691,611108,Rural,Inhabitant
Tamil Nadu,Cuddalore,570,Kurinjipadi,5790,Abatharanapuram,ஆபத்தாரணபுரம்,933654,607303,Urban,Inhabitant
Tamil Nadu,Tiruvannamalai,593,Thandrampet,5726,Abbunaickenpalayam,,632011,606708,Rural,Inhabitant
Tamil Nadu,Tiruvannamalai,593,Tiruvannamalai,5727,Abbupattu,,632206,606804,Rural,Inhabitant
Tamil Nadu,Tiruvannamalai,593,Vembakkam,6624,Abdullapuram,,631251,631702,Rural,Inhabitant
Tamil Nadu,Vellore,595,Vellore,5717,Abdullapuram,,630806,632010,Rural,Inhabitant
Tamil Nadu,Salem,584,Pethanaickanpalayam,6618,Abinavam,,931880,636109,Urban,Inhabitant
Tamil Nadu,Tiruchirappalli,591,Thuraiyur,5775,Abinimangalam,,635718,621007,Rural,Inhabitant
Tamil Nadu,Ramanathapuram,583,Kamuthi,5858,Abiramam,அபிராமம்,933520,623601,Urban,Inhabitant
Tamil Nadu,Ramanathapuram,583,Kamuthi,5858,Abiramam,,642012,623601,Unmapped,Inhabitant
Tamil Nadu,Mayiladuthurai,735,Mayiladuthurai,5796,Abiseka Kattalai,அபிஷக கட்டளை,933791,609001,Urban,Inhabitant
Tamil Nadu,Tirunelveli,592,Tirunelveli,5876,Abishekapatti,,642866,627012,Rural,Inhabitant
Tamil Nadu,Thiruvarur,590,Kudavasal,5804,Abivirutheeswaram,,637999,613705,Rural,Inhabitant
Tamil Nadu,Thiruvallur,589,Ponneri,5694,Abrahampuram,,628689,601203,Rural,Inhabitant
Tamil Nadu,Thiruvallur,589,Thiruvallur,5698,Abrahampuram,,628984,602023,Rural,Inhabitant
Tamil Nadu,Ramanathapuram,583,Ramanathapuram,5860,Achadipirambu,,642131,623504,Rural,Inhabitant
Tamil Nadu,Cuddalore,570,Kattumannarkoil,5792,Achalpuram,,637044,608304,Rural,Inhabitant
Tamil Nadu,Mayiladuthurai,735,Sirkali,5795,Achalpuram,,637362,609101,Rural,Inhabitant
Tamil Nadu,Dharmapuri,571,Harur,5886,Achalvadi,,643441,635305,Rural,Inhabitant
Tamil Nadu,Krishnagiri,577,Bargur,6613,Achamangalam,,643938,635108,Rural,Inhabitant
Tamil Nadu,Tirupathur,732,Tirupathur,5720,Achamangalam,,631093,635651,Rural,Inhabitant
Tamil Nadu,Tiruvannamalai,593,Vandavasi,5723,Achamangalam,,631618,604501,Rural,Inhabitant
Tamil Nadu,Karur,576,Manmangalam,5985,Achamapuram,,635559,639006,Rural,Inhabitant
Tamil Nadu,Tirunelveli,592,Radhapuram,5880,Achampadu,,643053,627117,Rural,Inhabitant
Tamil Nadu,Thanjavur,586,Budalur,5966,Achampatti,,638840,613402,Rural,Inhabitant
Tamil Nadu,Tirunelveli,592,Manur,6647,Achampatti,,642716,627951,Rural,Inhabitant
Tamil Nadu,Virudhunagar,597,Kariapatti,5851,Achampatti,அச்சம்பட்டி,932496,626106,Urban,Inhabitant
Tamil Nadu,Madurai,578,Madurai West,5961,Achampattu,,641016,625019,Rural,Inhabitant
Tamil Nadu,Madurai,578,Kalligudi,6615,Achangulam,,640981,625701,Rural,Inhabitant
Tamil Nadu,Thoothukkudi,594,Kayathar,6628,Achangulam,,642205,628718,Rural,Inhabitant
Tamil Nadu,Virudhunagar,597,Kariapatti,5851,Achangulam,,641403,626106,Rural,Inhabitant
Tamil Nadu,Salem,584,Salem,5740,Achanguttaipatti,,633972,636122,Rural,Inhabitant
