State,District,District Code,Mandal,Mandal Code,Village,Village (Native),Native Source,Village Code,Pincode,Category,Status
Telangana,Mulugu,720,Venkatapuram,4724,A. Kathigudem,అ. కథిగూడెం,transliterated,578797,507136,,
Telangana,Jogulamba Gadwal,695,Undavelly,6299,A.Burdipad,అ.బుర్దిపద్,transliterated,576407,509153,,
Telangana,Nalgonda,514,Thipparthy,4645,A.Duppala Palle,అ.దుప్పల పల్లె,transliterated,577063,508247,,
Telangana,Nalgonda,514,Tripuraram,4662,Abangapur,అబంగపూర్,transliterated,909878,508208,,
Telangana,Mahabubabad,688,Maripeda,4720,Abbaipalem,అబ్బైపాలెం,transliterated,578645,506315,,
Telangana,Mancherial,684,Tandur,4332,Abbapur,అబ్బపూర్,transliterated,569945,504272,,
Telangana,Jagitial,681,Gollapalli,4412,Abbapur,అబ్బపూర్,transliterated,572040,505532,,
Telangana,Nizamabad,516,Navipet,4358,Abbapur (B),అబ్బపూర్ (బ్),transliterated,570709,503245,,
Telangana,Nizamabad,516,Navipet,4358,Abbapur (M),అబ్బపూర్ (మ్),transliterated,570725,503245,,
Telangana,Peddapalli,682,Julapalli,4409,Abbapuram,అబ్బపురం,transliterated,572031,505525,,
Telangana,Mulugu,720,Mulug,4689,Abbapuram,అబ్బపురం,transliterated,578043,506343,,
Telangana,Suryapet,696,Garidepally,4666,Abbireddygudem,అబ్బిరెద్ద్య్గూడెం,transliterated,909913,508201,,
Telangana,Bhadradri Kothagudem,690,Annapureddypalli,6268,Abbugudem,అబ్బుగూడెం,transliterated,579490,507316,,
Telangana,Yadadri Bhuvanagiri,697,B Pochampally,4630,Abdulla Nagar,అబ్దుల్ల నగర్,transliterated,576810,508284,,
Telangana,Kamareddy,685,Tadwai,4389,Abdullanagar,అబ్దుల్లనగర్,transliterated,571530,503111,,
Telangana,Nirmal,680,Lokeswaram,4342,Abdullapur,అబ్దుల్లాపూర్,authoritative,570294,504101,,
Telangana,Ranga Reddy,518,Abdullapurmet,6319,Abdullapur,అబ్దుల్లాపూర్,authoritative,574196,501505,,
Telangana,Jangoan,689,Tharigoppula,6257,Abdulnagaram,అబ్దుల్నగరమ్,transliterated,577677,506145,,
Telangana,Sangareddy,691,Narayankhed,4452,Abenda,అబెంద,transliterated,572793,502286,,
Telangana,Nalgonda,514,Madugulapally,6305,Abhanga Puram,అభంగ పురమ్,transliterated,577461,508217,,
Telangana,Nizamabad,516,Navipet,4358,Abhangapatnam,అభంగపత్నమ్,transliterated,570723,503245,,
Telangana,Mahabubnagar,512,Koilkonda,4569,Abhangapatnam,అభంగపత్నమ్,transliterated,575439,509371,,
Telangana,Narayanpet,721,Narayanpet,4570,Abhangapur,అభంగపూర్,transliterated,575458,509210,,
Telangana,Medak,513,Papannapet,4455,Ablapur,అబ్లపూర్,transliterated,572877,502331,,
Telangana,Kamareddy,685,Nagireddypet,4387,Achaipalle,అచైపల్లె,transliterated,571475,503122,,
Telangana,Siddipet,692,Mulug,4486,Achaipalle,అచైపల్లె,transliterated,573701,502279,,
Telangana,Mancherial,684,Tandur,4332,Achalapur,అచలపూర్,transliterated,569954,504273,,
Telangana,Kumuram Bheem Asifabad,699,Sirpur (T),4315,Achalli,అచ్హళ్ళి,transliterated,569358,504299,,
Telangana,Nizamabad,516,Bodhan,4370,Achampalle (R),అచంపల్లె (ర్),transliterated,570994,503180,,
Telangana,Karimnagar,508,Gangadhara,4422,Achampalli,అచంపల్లి,transliterated,572218,505445,,
Telangana,Kamareddy,685,Nizamsagar,4385,Achampet,అచంపేట,authoritative,571440,503302,,
Telangana,Medak,513,Masaipet,7190,Achampet,అచంపేట,authoritative,573575,502255,,
Telangana,Medak,513,Narsapur,4488,Achampet,అచంపేట,authoritative,573765,502313,,
Telangana,Nagarkurnool,694,Achampet,4579,Achampet (Ct),అచంపెత్ (చ్త్),transliterated,575653,509375,,
Telangana,Nalgonda,514,Chandampeta,4652,Achampet (P) Chandampet,అచంపెత్ (ప్) చందంపెత్,transliterated,577210,508258,,
Telangana,Medak,513,Tekmal,4469,Achannapalle,అచన్నపల్లె,transliterated,573206,502302,,
Telangana,Khammam,509,Nelakondapalli,4759,Acharlagudem,అచర్లగూడెం,transliterated,579718,507160,,
Telangana,Suryapet,696,Chilkur,4667,Acharlagudem,అచర్లగూడెం,transliterated,909917,508204,,
Telangana,Mahabubnagar,512,Koilkonda,4569,Acharyapur,అచర్యపూర్,transliterated,575433,509371,,
Telangana,Wanaparthy,693,Wanaparthy,4595,Achutapur,అచుతపూర్,transliterated,576042,509106,,
Telangana,Vikarabad,698,Yelal,4536,Achuthapur,అచుథపూర్,transliterated,574514,501144,,
Telangana,Bhadradri Kothagudem,690,Aswaraopeta,4749,Achuthapuram,అచ్యుతాపురం,authoritative,579535,507301,,
Telangana,Bhadradri Kothagudem,690,Dummugudem,4729,Achyuthapuram,అచ్యుథపురం,transliterated,578967,507137,,
Telangana,Adilabad,501,Jainath,4307,Ada,అద,transliterated,569064,504309,,
Telangana,Kumuram Bheem Asifabad,699,Asifabad,4319,Ada,అద,transliterated,569480,504293,,
